cityCode,市町村名,C_2011コミュニティバス運行2011年,C_2017コミュニティバス運行2017年,D_2011デマンド型交通運行2011年,D_2017デマンド型交通運行2017年,人口密度(人/km2),面積(km2),軽自動車率,15歳未満人口比率,高齢化率,自家用車利用率
24443,三重県多気郡大台町,0,1,0,1,26.57,362.86,0.537,0.103,0.398,0.779
24461,三重県度会郡玉城町,0,1,1,1,437.088,40.91,0.526,0.151,0.259,0.794
24470,三重県度会郡度会町,0,1,0,0,62.912,134.98,0.572,0.122,0.318,0.857
24471,三重県度会郡大紀町,0,1,0,0,37.277,233.32,0.533,0.085,0.453,0.758
24472,三重県度会郡南伊勢町,1,1,1,1,46.556,241.89,0.568,0.067,0.491,0.739
24543,三重県北牟婁郡紀北町,0,1,0,0,49.615,256.53,0.526,0.093,0.423,0.709
24561,三重県南牟婁郡御浜町,0,1,0,0,87.018,88.13,0.646,0.12,0.375,0.798
24562,三重県南牟婁郡紀宝町,1,1,0,0,135.287,79.62,0.621,0.124,0.339,0.762
25201,滋賀県大津市,0,0,0,1,731.691,464.51,0.393,0.141,0.246,0.395
25202,滋賀県彦根市,1,1,1,1,561.202,196.87,0.49,0.142,0.234,0.631
25203,滋賀県長浜市,1,1,1,1,173.551,681.02,0.544,0.139,0.269,0.729
25204,滋賀県近江八幡市,1,1,0,0,459.892,177.45,0.523,0.145,0.256,0.64
25206,滋賀県草津市,0,1,0,0,2065.455,67.82,0.401,0.147,0.2,0.396
25207,滋賀県守山市,0,1,0,0,1429.18,55.74,0.472,0.173,0.209,0.564
25208,滋賀県栗東市,1,1,0,1,1201.227,52.69,0.459,0.184,0.176,0.556
25209,滋賀県甲賀市,1,1,1,1,188.909,481.62,0.519,0.138,0.257,0.75
25210,滋賀県野洲市,1,1,0,0,611.152,80.14,0.493,0.149,0.243,0.584
25211,滋賀県湖南市,1,1,0,1,761.434,70.4,0.498,0.141,0.215,0.697
25212,滋賀県高島市,1,1,0,1,71.983,693.05,0.572,0.117,0.321,0.71
25213,滋賀県東近江市,1,1,0,1,293.393,388.37,0.544,0.145,0.247,0.736
25214,滋賀県米原市,1,1,1,1,153.28,250.39,0.535,0.136,0.277,0.738
25383,滋賀県蒲生郡日野町,0,1,0,0,185.998,117.6,0.555,0.13,0.28,0.817
25384,滋賀県蒲生郡竜王町,1,0,0,0,280.79,44.55,0.555,0.134,0.239,0.707
25425,滋賀県愛知郡愛荘町,1,1,0,1,604.345,37.97,0.542,0.176,0.217,0.76
25441,滋賀県犬上郡豊郷町,0,0,0,1,787.313,7.8,0.57,0.156,0.265,0.738
25442,滋賀県犬上郡甲良町,0,0,0,0,579.931,13.63,0.595,0.132,0.298,0.8
25443,滋賀県犬上郡多賀町,0,1,0,1,54.554,135.77,0.584,0.13,0.33,0.793
26100,京都府京都市,1,1,0,0,5650.672,827.83,0.359,0.113,0.267,0.189
26201,京都府福知山市,1,1,0,0,142.171,552.54,0.559,0.139,0.291,0.713
26202,京都府舞鶴市,0,1,0,0,234.678,342.12,0.551,0.135,0.305,0.618
26203,京都府綾部市,1,1,0,0,97.081,347.1,0.601,0.116,0.369,0.737
26204,京都府宇治市,0,1,0,1,2765.154,67.54,0.377,0.133,0.273,0.304
26205,京都府宮津市,0,1,0,0,96.659,172.74,0.589,0.102,0.4,0.644
26206,京都府亀岡市,1,1,0,0,394.44,224.8,0.537,0.134,0.265,0.518
26207,京都府城陽市,0,1,0,0,2148.254,32.71,0.434,0.122,0.312,0.351
26208,京都府向日市,0,0,0,0,7639.892,7.72,0.375,0.14,0.269,0.227
26209,京都府長岡京市,1,1,0,0,4144.937,19.17,0.32,0.141,0.258,0.205
26210,京都府八幡市,1,1,0,0,2699.176,24.35,0.416,0.131,0.283,0.323
26211,京都府京田辺市,0,0,0,0,1579.439,42.92,0.4,0.15,0.227,0.303
26212,京都府京丹後市,1,1,1,1,107.064,501.43,0.612,0.122,0.353,0.777
26213,京都府南丹市,1,1,1,1,54.046,616.4,0.585,0.108,0.335,0.59
26214,京都府木津川市,1,1,0,1,767.284,85.13,0.44,0.173,0.23,0.459
26303,京都府乙訓郡大山崎町,0,0,0,0,2576.927,5.97,0.351,0.141,0.272,0.246
26322,京都府久世郡久御山町,1,0,0,1,1178.649,13.86,0.51,0.131,0.293,0.413
26343,京都府綴喜郡井手町,0,0,0,0,529.149,18.04,0.548,0.109,0.311,0.504
26344,京都府綴喜郡宇治田原町,0,1,0,0,159.737,58.16,0.525,0.128,0.267,0.686
26364,京都府相楽郡笠置町,0,1,0,0,62.54,23.52,0.551,0.046,0.458,0.643
26365,京都府相楽郡和束町,0,0,0,0,60.105,64.93,0.663,0.083,0.406,0.807
26366,京都府相楽郡精華町,1,1,0,0,1518.838,25.68,0.391,0.16,0.215,0.415
26367,京都府相楽郡南山城村,0,1,0,0,39.071,64.11,0.564,0.066,0.42,0.766
26407,京都府船井郡京丹波町,1,1,0,0,47.411,303.09,0.621,0.096,0.399,0.799
26463,京都府与謝郡伊根町,1,1,1,0,27.532,61.95,0.646,0.077,0.463,0.76
26465,京都府与謝郡与謝野町,1,1,0,0,197.567,108.38,0.592,0.123,0.344,0.752
27100,大阪府大阪市,0,1,0,0,13279.968,225.21,0.302,0.112,0.253,0.105
27140,大阪府堺市,1,0,0,1,6092.346,149.82,0.389,0.136,0.269,0.27
27202,大阪府岸和田市,1,1,0,0,2747.468,72.68,0.492,0.138,0.259,0.372
27203,大阪府豊中市,0,0,0,0,10495.965,36.39,0.247,0.137,0.254,0.159
